group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,reason,n_eligible_target_test,n_supported,n_supported_days,support_retention,threshold,n_support_features,transfer_mae,local_same_rows_mae,otg_abs,otg_rel,otg_rel_defined
TW_4467a039e00b,PS_044,PS_050,SplineRidge,CS4_R9,True,,841,424,21,0.5041617122473246,0.5641376971789263,6,0.06207899670091396,0.056886013473763826,0.005192983227150137,0.09128752236338679,True
TW_4467a039e00b,PS_044,PS_051,SplineRidge,CS4_R9,True,,747,326,18,0.4364123159303882,0.5641376971789263,6,0.11214303448568637,0.06900300111091806,0.04314003337476831,0.6251906827273117,True
TW_4467a039e00b,PS_045,PS_042,SplineRidge,CS4_R9,True,,819,485,20,0.5921855921855922,0.694784995602642,6,0.06404924775656329,0.0625562596304806,0.0014929881260826866,0.0238663266458346,True
TW_4467a039e00b,PS_045,PS_043,SplineRidge,CS4_R9,True,,791,207,20,0.26169405815423513,0.694784995602642,6,0.0687345465263357,0.05945935463508202,0.009275191891253684,0.15599213863281935,True
TW_4467a039e00b,PS_045,PS_044,SplineRidge,CS4_R9,True,,835,451,21,0.5401197604790419,0.694784995602642,6,0.0958138052364819,0.07658408638436079,0.019229718852121117,0.251092880518426,True
TW_4467a039e00b,PS_045,PS_046,SplineRidge,CS4_R9,True,,570,470,16,0.8245614035087719,0.694784995602642,6,0.07024948277860085,0.06549938235244164,0.004750100426159212,0.07252130104982801,True
TW_4467a039e00b,PS_045,PS_047,SplineRidge,CS4_R9,True,,576,417,17,0.7239583333333334,0.694784995602642,6,0.0938232423779011,0.12363346499061584,-0.029810222612714737,-0.24111774765009963,True
TW_4467a039e00b,PS_045,PS_048,SplineRidge,CS4_R9,True,,739,170,18,0.23004059539918809,0.694784995602642,6,0.05058624730287641,0.03875111708453742,0.011835130218338992,0.3054139108433981,True
TW_4467a039e00b,PS_045,PS_049,SplineRidge,CS4_R9,True,,710,521,18,0.7338028169014085,0.694784995602642,6,0.0623964362477545,0.05720856319139917,0.005187873056355326,0.0906835055269362,True
TW_4467a039e00b,PS_045,PS_050,SplineRidge,CS4_R9,True,,841,586,21,0.6967895362663495,0.694784995602642,6,0.06487484946588698,0.0610623745300652,0.0038124749358217774,0.06243574648320684,True
TW_4467a039e00b,PS_045,PS_051,SplineRidge,CS4_R9,True,,747,250,19,0.33467202141900937,0.694784995602642,6,0.07585917178669982,0.04472176107912069,0.03113741070757913,0.6962474186222577,True
TW_4467a039e00b,PS_046,PS_042,SplineRidge,CS4_R9,True,,819,472,20,0.5763125763125763,0.6448333873596003,6,0.05275732766558239,0.06334456666132493,-0.010587238995742543,-0.16713728664918925,True
TW_4467a039e00b,PS_046,PS_043,SplineRidge,CS4_R9,True,,791,286,20,0.3615676359039191,0.6448333873596003,6,0.0816593268641619,0.07224209654583401,0.00941723031832789,0.1303565478938326,True
TW_4467a039e00b,PS_046,PS_044,SplineRidge,CS4_R9,True,,835,463,21,0.5544910179640719,0.6448333873596003,6,0.07586929096150288,0.07996509633071643,-0.004095805369213543,-0.05121991415197295,True
TW_4467a039e00b,PS_046,PS_045,SplineRidge,CS4_R9,True,,732,502,19,0.6857923497267759,0.6448333873596003,6,0.043773878052212375,0.043188580683865815,0.0005852973683465601,0.013552132509999633,True
TW_4467a039e00b,PS_046,PS_047,SplineRidge,CS4_R9,True,,576,425,17,0.7378472222222222,0.6448333873596003,6,0.08676449833264203,0.12648278447489222,-0.03971828614225019,-0.31402128208313257,True
