source_plant_id,feature,median,iqr,mad,scale,scale_source,n_source_train,tau,n_support_features,engine_computable
PS_047,poa_irradiance_wm2,624.7421839452988,691.9648161501516,,691.9648161501516,IQR,1725,0.5976234183922884,6,True
PS_047,ghi_irradiance_wm2,478.04011538086684,584.7849254729404,,584.7849254729404,IQR,1725,0.5976234183922884,6,True
PS_047,gri_irradiance_wm2,46.10717152779026,26.405140090490075,,26.405140090490075,IQR,1725,0.5976234183922884,6,True
PS_047,panel_temperature_celsius,43.23536368079272,18.578297269774044,,18.578297269774044,IQR,1725,0.5976234183922884,6,True
PS_047,ambient_temperature_celsius,28.933067519466192,5.100369904906106,,5.100369904906106,IQR,1725,0.5976234183922884,6,True
PS_047,wind_speed_ms,2.2609993278522236,1.7558751429170258,,1.7558751429170258,IQR,1725,0.5976234183922884,6,True
PS_048,poa_irradiance_wm2,622.5420622140032,637.4367905382908,,637.4367905382908,IQR,2215,0.38880986598928063,5,True
PS_048,ghi_irradiance_wm2,486.32586713105127,546.2067502170571,,546.2067502170571,IQR,2215,0.38880986598928063,5,True
PS_048,gri_irradiance_wm2,49.9432644343277,30.80279207429887,,30.80279207429887,IQR,2215,0.38880986598928063,5,True
PS_048,panel_temperature_celsius,37.3542314185177,12.701749477201922,,12.701749477201922,IQR,2215,0.38880986598928063,5,True
PS_048,ambient_temperature_celsius,30.638456362864552,4.604217532188162,,4.604217532188162,IQR,2215,0.38880986598928063,5,True
PS_048,wind_speed_ms,0.0,0.0,0.0,,OMITTED_DEGENERATE,2215,0.38880986598928063,5,True
PS_049,poa_irradiance_wm2,712.6469849061122,609.6942669051055,,609.6942669051055,IQR,2129,0.6553870982781045,6,True
PS_049,ghi_irradiance_wm2,509.3518147068684,538.0486690472304,,538.0486690472304,IQR,2129,0.6553870982781045,6,True
PS_049,gri_irradiance_wm2,45.57852567364567,25.665375365322973,,25.665375365322973,IQR,2129,0.6553870982781045,6,True
PS_049,panel_temperature_celsius,36.309440494132865,13.386929235318767,,13.386929235318767,IQR,2129,0.6553870982781045,6,True
PS_049,ambient_temperature_celsius,28.593941708819617,5.232406340033002,,5.232406340033002,IQR,2129,0.6553870982781045,6,True
PS_049,wind_speed_ms,2.260649491834676,1.4504172289348662,,1.4504172289348662,IQR,2129,0.6553870982781045,6,True
PS_050,poa_irradiance_wm2,621.7640594033865,617.7943960414196,,617.7943960414196,IQR,2521,0.5784805275263192,6,True
PS_050,ghi_irradiance_wm2,504.77403189025705,538.4719696955794,,538.4719696955794,IQR,2521,0.5784805275263192,6,True
PS_050,gri_irradiance_wm2,46.97816972777803,31.17744180817394,,31.17744180817394,IQR,2521,0.5784805275263192,6,True
PS_050,panel_temperature_celsius,40.62241123357779,15.684234611633663,,15.684234611633663,IQR,2521,0.5784805275263192,6,True
PS_050,ambient_temperature_celsius,28.09011291928574,4.661909461208488,,4.661909461208488,IQR,2521,0.5784805275263192,6,True
PS_050,wind_speed_ms,2.482032435159057,1.7949365756904962,,1.7949365756904962,IQR,2521,0.5784805275263192,6,True
