target_plant_id,variant,candidate_id,hyperparameters,alpha,n_knots,donor_equal_mean_val_mae,fit_status,selected,n_donor_train,n_donor_val,runner_up_val_mae,selection_gap
PS_046,row_pooled,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.07616388426448607,ok,False,49885,16630,,
PS_046,row_pooled,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.07617897138216473,ok,False,49885,16630,,
PS_046,row_pooled,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.07617969629498332,ok,False,49885,16630,,
PS_046,plant_balanced,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.0791236352703512,ok,False,49885,16630,,
PS_046,plant_balanced,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07904270379362065,ok,True,49885,16630,0.07905820928614614,1.5505492525491604e-05
PS_046,plant_balanced,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07905820928614614,ok,False,49885,16630,,
PS_046,plant_balanced,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.083171217231888,ok,False,49885,16630,,
PS_046,plant_balanced,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.11356115145399813,ok,False,49885,16630,,
PS_046,plant_balanced,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.10667278775929552,ok,False,49885,16630,,
PS_047,row_pooled,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.06932514333270186,ok,False,49870,16625,,
PS_047,row_pooled,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.069431155448308,ok,False,49870,16625,,
PS_047,row_pooled,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.06921073488671309,ok,True,49870,16625,0.06921296336114319,2.2284744300993253e-06
PS_047,row_pooled,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.06921296336114319,ok,False,49870,16625,,
PS_047,row_pooled,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.06935986902172417,ok,False,49870,16625,,
PS_047,row_pooled,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.06923511605774678,ok,False,49870,16625,,
PS_047,plant_balanced,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07082190520700175,ok,False,49870,16625,,
PS_047,plant_balanced,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07075964984127453,ok,True,49870,16625,0.07078467507633421,2.502523505967802e-05
PS_047,plant_balanced,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07078467507633421,ok,False,49870,16625,,
PS_047,plant_balanced,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.07542175893645167,ok,False,49870,16625,,
PS_047,plant_balanced,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.10790078770677293,ok,False,49870,16625,,
PS_047,plant_balanced,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.10027360422429978,ok,False,49870,16625,,
PS_048,row_pooled,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07582636163026271,ok,False,49380,16462,,
PS_048,row_pooled,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.07599325182756526,ok,False,49380,16462,,
PS_048,row_pooled,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07580613483661734,ok,True,49380,16462,0.07580781476985324,1.6799332358957697e-06
PS_048,row_pooled,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.07580781476985324,ok,False,49380,16462,,
PS_048,row_pooled,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.07585806617338298,ok,False,49380,16462,,
PS_048,row_pooled,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.07582468522919816,ok,False,49380,16462,,
PS_048,plant_balanced,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07859613288180774,ok,False,49380,16462,,
PS_048,plant_balanced,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.0785286667982838,ok,True,49380,16462,0.07859567153110726,6.700473282346409e-05
PS_048,plant_balanced,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07859567153110726,ok,False,49380,16462,,
PS_048,plant_balanced,S04_03,"{""alpha"": 1, ""n_knots"": 8}",1,8,0.08282189726314679,ok,False,49380,16462,,
PS_048,plant_balanced,S04_04,"{""alpha"": 10, ""n_knots"": 4}",10,4,0.11081441625840507,ok,False,49380,16462,,
PS_048,plant_balanced,S04_05,"{""alpha"": 10, ""n_knots"": 8}",10,8,0.10480926952445052,ok,False,49380,16462,,
PS_049,row_pooled,S04_00,"{""alpha"": 0.1, ""n_knots"": 4}",0.1,4,0.07385308701516567,ok,False,49466,16490,,
PS_049,row_pooled,S04_01,"{""alpha"": 0.1, ""n_knots"": 6}",0.1,6,0.0739646770932619,ok,False,49466,16490,,
PS_049,row_pooled,S04_02,"{""alpha"": 0.1, ""n_knots"": 8}",0.1,8,0.07374093025442112,ok,True,49466,16490,0.07374278810330609,1.8578488849702035e-06
