group_id,source_plant_id,target_plant_id,model_family,support_rule,n_supported,n_supported_days,support_retention,twin_mae,local_same_rows_mae,pool_row_mae,pool_bal_mae,otg_twin,otg_pool_row,otg_pool_bal,gain_row_vs_twin,gain_bal_vs_twin,computable,selected_row_hparams,selected_bal_hparams,otg_abs
TW_4467a039e00b,PS_042,PS_051,SplineRidge,CS4,535,18,0.7161981258366801,0.09408145658846247,0.06622993813293625,0.09060579951761548,0.09265992485383678,0.02785151845552622,0.02437586138467923,0.026429986720900536,0.003475657070846988,0.0014215317346256834,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.02785151845552622
TW_4467a039e00b,PS_043,PS_042,SplineRidge,CS4,211,20,0.2576312576312576,0.07320280781483178,0.05037894981600527,0.04315168999235068,0.04718880579005932,0.02282385799882651,-0.007227259823654589,-0.0031901440259459526,0.0300511178224811,0.026014002024772463,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 6}",0.02282385799882651
TW_4467a039e00b,PS_043,PS_044,SplineRidge,CS4,220,20,0.2634730538922156,0.11950140220663368,0.07427694363362593,0.08019518424108776,0.08329990935865979,0.04522445857300775,0.005918240607461836,0.00902296572503386,0.03930621796554591,0.03620149284797389,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 4}",0.04522445857300775
TW_4467a039e00b,PS_043,PS_045,SplineRidge,CS4,148,18,0.20218579234972678,0.06967489669765302,0.05447965624976115,0.04836805625081176,0.048308051971991506,0.015195240447891868,-0.006111599998949391,-0.006171604277769645,0.02130684044684126,0.021366844725661513,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.015195240447891868
TW_4467a039e00b,PS_043,PS_046,SplineRidge,CS4,149,16,0.2614035087719298,0.07487211899233291,0.06064249764575152,0.052136639770787405,0.05394690347723043,0.014229621346581393,-0.008505857874964114,-0.006695594168521085,0.022735479221545507,0.02092521551510248,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 6}",0.014229621346581393
TW_4467a039e00b,PS_043,PS_047,SplineRidge,CS4,97,16,0.1684027777777778,0.07971405226987535,0.0492284668166138,0.049565497273104164,0.0533651757125813,0.03048558545326155,0.00033703045649036145,0.0041367088959674975,0.030148554996771187,0.02634887655729405,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.03048558545326155
TW_4467a039e00b,PS_043,PS_048,SplineRidge,CS4,154,18,0.2083897158322057,0.04095640257243356,0.027136290959365497,0.03129902966866417,0.029852016425489715,0.013820111613068065,0.0041627387092986745,0.0027157254661242178,0.00965737290376939,0.011104386146943847,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.013820111613068065
TW_4467a039e00b,PS_043,PS_049,SplineRidge,CS4,105,17,0.14788732394366197,0.07299013001897516,0.06359837111183034,0.06120163117176804,0.061142452659280616,0.009391758907144818,-0.0023967399400623007,-0.0024559184525497213,0.011788498847207118,0.011847677359694539,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.009391758907144818
TW_4467a039e00b,PS_043,PS_050,SplineRidge,CS4,69,20,0.08204518430439953,0.0717641996830388,0.053724930917367596,0.05379993930828104,0.05576568605502772,0.01803926876567121,7.500839091344191e-05,0.0020407551376601246,0.01796426037475777,0.015998513628011087,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.01803926876567121
TW_4467a039e00b,PS_043,PS_051,SplineRidge,CS4,411,18,0.5502008032128514,0.11149055719659673,0.07578979416432677,0.09245764705804488,0.09346947309547732,0.03570076303226996,0.01666785289371811,0.01767967893115055,0.01903291013855185,0.01802108410111941,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.03570076303226996
TW_4467a039e00b,PS_044,PS_042,SplineRidge,CS4,578,20,0.7057387057387058,0.062307519610275794,0.06167791088930892,0.04660535386848085,0.05503363583506758,0.0006296087209668733,-0.015072557020828069,-0.006644275054241339,0.015702165741794942,0.007273883775208212,True,"{""alpha"": 0.1, ""n_knots"": 4}","{""alpha"": 0.1, ""n_knots"": 6}",0.0006296087209668733
TW_4467a039e00b,PS_044,PS_043,SplineRidge,CS4,389,20,0.4917825537294564,0.07914031616886597,0.07641147671352003,0.05748527978662121,0.058255406278000944,0.0027288394553459383,-0.018926196926898814,-0.018156070435519082,0.021655036382244752,0.02088490989086502,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 6}",0.0027288394553459383
TW_4467a039e00b,PS_044,PS_045,SplineRidge,CS4,429,19,0.5860655737704918,0.05065660050477117,0.04703737671113238,0.04091124925805216,0.04697596277947358,0.0036192237936387914,-0.006126127453080221,-6.141393165880193e-05,0.009745351246719013,0.0036806377252975933,True,"{""alpha"": 0.1, ""n_knots"": 8}","{""alpha"": 0.1, ""n_knots"": 8}",0.0036192237936387914
