group_id,source_plant_id,target_plant_id,otg_abs,otg_rel,otg_rel_defined,support_retention,local_same_rows_mae,transfer_mae,retention_tercile,computable,model_family,support_rule
TW_4467a039e00b,PS_049,PS_047,-0.017016244994608992,-0.14519796860276393,True,0.7430555555555556,0.11719340951086196,0.10017716451625297,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_049,PS_048,0.010044521111434682,0.2633611883431936,True,0.21921515561569688,0.038139716693354885,0.048184237804789566,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_049,PS_050,0.006793773823267998,0.1129250027348752,True,0.6979785969084423,0.060161821197546386,0.06695559502081438,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_049,PS_051,0.016301774762073354,0.2858920511133578,True,0.3507362784471218,0.05702073456953026,0.07332250933160361,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_050,PS_042,-0.013230633404320673,-0.21313826540246636,True,0.7362637362637363,0.062075354602973004,0.04884472119865233,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_050,PS_043,-0.020052905059231803,-0.26458521386481104,True,0.5967130214917825,0.0757899686317232,0.0557370635724914,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_050,PS_044,0.004544655186495772,0.05747287774815251,True,0.755688622754491,0.07907478039311963,0.0836194355796154,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_050,PS_045,0.0010553703250080343,0.023633088398374257,True,0.7827868852459017,0.04465647092830382,0.045711841253311854,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_050,PS_046,0.0005212534471596281,0.00779186818535606,True,0.9403508771929825,0.06689710795406746,0.06741836140122709,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_050,PS_047,-0.03700034205493366,-0.30344868305039896,True,0.8715277777777778,0.12193278179028502,0.08493243973535136,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_050,PS_048,0.009320568677168455,0.24711167942805737,True,0.21109607577807848,0.037718041894017354,0.04703861057118581,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_050,PS_049,0.0037625795021312483,0.06404201316322396,True,0.8,0.05875173680973391,0.06251431631186516,HIGH,True,SplineRidge,CS4
TW_4467a039e00b,PS_050,PS_051,0.007650574427969972,0.12376477708690332,True,0.5408299866131191,0.061815442228753056,0.06946601665672303,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_051,PS_042,-0.007736320834921373,-0.16249435840398294,True,0.2454212454212454,0.04760978110814059,0.03987346027321922,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_051,PS_043,-0.020486714689908703,-0.24098932261142986,True,0.6371681415929203,0.08501088126191131,0.0645241665720026,MID,True,SplineRidge,CS4
TW_4467a039e00b,PS_051,PS_044,0.025727307743394642,0.37414312158639274,True,0.21437125748502994,0.06876327870016447,0.09449058644355911,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_051,PS_045,0.006200780150080076,0.11231860724526456,True,0.21448087431693988,0.05520706054108863,0.061407840691168704,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_051,PS_046,-0.001608455085044827,-0.023511922795181998,True,0.32456140350877194,0.0684101891221941,0.06680173403714927,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_051,PS_047,0.011885317316794146,0.20794887915622487,True,0.2708333333333333,0.05715499580964375,0.0690403131264379,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_051,PS_048,0.007179306862026454,0.23436249620743133,True,0.11231393775372124,0.030633343551999627,0.03781265041402608,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_051,PS_049,-0.0019550935888232104,-0.03193267956561398,True,0.23380281690140844,0.06122547858240218,0.05927038499357897,LOW,True,SplineRidge,CS4
TW_4467a039e00b,PS_051,PS_050,0.002995858143534251,0.058970208510513655,True,0.1581450653983353,0.05080290911639098,0.05379876725992523,LOW,True,SplineRidge,CS4
TW_88a108921af7,PS_035,PS_039,-0.013253571979140621,-0.16838816331927267,True,0.5584218512898331,0.07870845383598112,0.0654548818568405,MID,True,SplineRidge,CS4
TW_88a108921af7,PS_039,PS_035,-0.0045877041055881335,-0.0721986539408859,True,0.4133906633906634,0.06354279276930022,0.05895508866371209,MID,True,SplineRidge,CS4
