replicate_id,rho_abs,valid_abs,reason_abs,rho_rel,valid_rel,reason_rel
147,-0.3330056453886355,True,,-0.4225656520387732,True,
148,-0.28382258084915324,True,,-0.30737222861623686,True,
149,-0.21143348925420946,True,,-0.23486146416874518,True,
150,-0.18830679493829455,True,,-0.18736726724669453,True,
151,-0.4470600990206353,True,,-0.4679194824906942,True,
152,-0.26804325296728654,True,,-0.30973191763946734,True,
153,-0.3639859343772926,True,,-0.37926585544789904,True,
154,-0.08678090867809087,True,,-0.09678704301203764,True,
155,-0.23191181089597454,True,,-0.2551141372078179,True,
156,-0.22044806824830607,True,,-0.2847139648566521,True,
157,-0.32613840040312037,True,,-0.3418549914847203,True,
158,-0.18222210970036837,True,,-0.20212159955441347,True,
159,-0.31987650592301753,True,,-0.36215980402026915,True,
160,-0.22777348752187215,True,,-0.24245593798570855,True,
161,-0.27202929273463095,True,,-0.29853150896126424,True,
162,-0.3650913126957498,True,,-0.36738768506528713,True,
163,-0.2913705332566325,True,,-0.32316428213550075,True,
164,-0.19783807029203643,True,,-0.21329997263380115,True,
165,-0.453914505518138,True,,-0.4649214557327051,True,
166,-0.0812615857907261,True,,-0.09306758870935934,True,
167,-0.31327470286460823,True,,-0.3186597839594685,True,
168,-0.16790304451937643,True,,-0.19478082392611054,True,
169,-0.14226583233912007,True,,-0.19619682987996395,True,
170,-0.1281157990473401,True,,-0.15751260193306715,True,
171,-0.17617815350068747,True,,-0.2427875811303309,True,
172,-0.22867516879219804,True,,-0.2648762190547637,True,
173,-0.28424765715489103,True,,-0.314415078445825,True,
174,-0.29890831021003383,True,,-0.29844246855568834,True,
175,-0.2347388216662955,True,,-0.278078836018113,True,
176,-0.10124840610242272,True,,-0.12398885153694567,True,
177,-0.3490531913853614,True,,-0.3532177806454136,True,
178,-0.10944023466145197,True,,-0.15785871425079442,True,
179,-0.5284045934459369,True,,-0.5619177515009073,True,
180,-0.35597610329543267,True,,-0.3888610522258624,True,
181,-0.25243090778632754,True,,-0.285399708043645,True,
182,-0.28210887949260044,True,,-0.3183328299607369,True,
183,-0.12310508223799593,True,,-0.14055395054878478,True,
184,-0.3364869619609836,True,,-0.3473357050705657,True,
185,-0.12442013572369087,True,,-0.12429859211992303,True,
186,-0.20231650704051574,True,,-0.20799210351794445,True,
187,-0.4262011122253624,True,,-0.3990538993729804,True,
188,-0.4933416708673375,True,,-0.5090638778466191,True,
189,-0.3349844006304075,True,,-0.3831012190022836,True,
190,-0.26356927205635694,True,,-0.27973834283797383,True,
191,-0.35161451154060475,True,,-0.36913315931997925,True,
192,-0.2512170379307654,True,,-0.2977976265509355,True,
193,-0.3170216178982232,True,,-0.366277588533361,True,
194,-0.2330003380579794,True,,-0.2784078938987884,True,
