target_id,twin_source_id,control_id,target_state,common_row_count,twin_otg_common_rows,control_otg_common_rows,contrast_control_minus_twin,computable,reason,orientation
PS_004,PS_020,PS_033,SP,444,-0.0011175430730279538,0.0073704279367778035,0.008487971009805757,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_033,SP,441,0.017969425548888876,0.007398091580391602,-0.010571333968497274,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_033,SP,649,0.002518990699054594,0.007114906570433965,0.0045959158713793705,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_033,SP,384,0.00032733648088586337,0.006573201655621808,0.006245865174735944,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_033,SP,539,0.01019352374488509,0.0064154431866841576,-0.003778080558200933,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_033,SP,533,-0.0011341711099320355,0.00848104315025831,0.009615214260190345,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_034,SP,226,0.00028850725379265044,0.006336140306339267,0.0060476330525466165,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_020,PS_034,SP,444,-0.0011175430730279538,0.006775681543602405,0.007893224616630359,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_034,SP,441,0.017969425548888876,0.006948020336203772,-0.011021405212685104,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_034,SP,649,0.002518990699054594,0.00782030796727582,0.005301317268221226,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_034,SP,384,0.00032733648088586337,0.007543265075943495,0.007215928595057632,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_034,SP,539,0.01019352374488509,0.007693124619582201,-0.00250039912530289,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_034,SP,533,-0.0011341711099320355,0.007129394085121799,0.008263565195053835,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_035,SP,226,0.00028850725379265044,0.0025062255965066157,0.0022177183427139653,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_020,PS_035,SP,444,-0.0011175430730279538,3.663598875923088e-05,0.0011541790617871847,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_035,SP,441,0.017969425548888876,0.0001975695766412086,-0.017771855972247667,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_035,SP,649,0.002518990699054594,0.0008760318769392046,-0.0016429588221153896,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_035,SP,384,0.00032733648088586337,-1.5629301499162085e-05,-0.00034296578238502545,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_035,SP,539,0.01019352374488509,0.00021155245122130018,-0.00998197129366379,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_035,SP,533,-0.0011341711099320355,0.0004771194453166115,0.001611290555248647,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_036,SP,226,0.00028850725379265044,-0.0011291234430315829,-0.0014176306968242333,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_020,PS_036,SP,444,-0.0011175430730279538,-0.0014815903999334176,-0.0003640473269054638,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_036,SP,441,0.017969425548888876,-0.0014406472895129585,-0.019410072838401835,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_036,SP,649,0.002518990699054594,-0.0015525191296937788,-0.004071509828748373,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_036,SP,384,0.00032733648088586337,-0.0017540296233605757,-0.002081366104246439,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_036,SP,539,0.01019352374488509,-0.0018629244353158304,-0.012056448180200921,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_036,SP,533,-0.0011341711099320355,-0.0012459920146000378,-0.00011182090466800229,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_038,SP,226,0.00028850725379265044,0.01385888636050767,0.01357037910671502,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_020,PS_038,SP,444,-0.0011175430730279538,0.01289014667036175,0.014007689743389704,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_022,PS_038,SP,441,0.017969425548888876,0.01306941404918787,-0.0049000114997010055,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_023,PS_038,SP,649,0.002518990699054594,0.01636656959834162,0.013847578899287026,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_024,PS_038,SP,384,0.00032733648088586337,0.012734483390873467,0.012407146909987603,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_026,PS_038,SP,539,0.01019352374488509,0.014796086051599888,0.004602562306714797,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_030,PS_038,SP,533,-0.0011341711099320355,0.013154199515976805,0.01428837062590884,True,ok,CONTROL_MINUS_TWIN
PS_004,PS_017,PS_039,SP,226,0.00028850725379265044,0.029425547431637143,0.029137040177844492,True,ok,CONTROL_MINUS_TWIN
