group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,reason,n_supported,transfer_mae,local_same_rows_mae,otg_abs,otg_rel,otg_rel_defined
TW_7b33a493697b,PS_022,PS_020,SplineRidge,CS4,True,ok,472,0.05345348022289328,0.019207327035274276,0.034246153187619005,1.7829733999283663,True
TW_7b33a493697b,PS_022,PS_023,SplineRidge,CS4,True,ok,707,0.0594660032512037,0.02950217188814991,0.02996383136305379,1.0156483216440522,True
TW_7b33a493697b,PS_022,PS_024,SplineRidge,CS4,True,ok,1305,0.08465873688878212,0.04727487333645383,0.037383863552328284,0.7907765989401699,True
TW_7b33a493697b,PS_022,PS_026,SplineRidge,CS4,True,ok,1783,0.07572389608225902,0.060858733902353135,0.014865162179905883,0.24425684247320686,True
TW_7b33a493697b,PS_022,PS_030,SplineRidge,CS4,True,ok,1390,0.09485770584466971,0.0467869091923073,0.04807079665236241,1.0274411685281022,True
TW_7b33a493697b,PS_023,PS_004,SplineRidge,CS4,True,ok,649,0.025623611898149552,0.023104621199094958,0.002518990699054594,0.10902540566877014,True
TW_7b33a493697b,PS_023,PS_017,SplineRidge,CS4,True,ok,1194,0.04606182469292621,0.048989374387982704,-0.002927549695056493,-0.05975887080882244,True
TW_7b33a493697b,PS_023,PS_020,SplineRidge,CS4,True,ok,578,0.02787169953463713,0.024758127814994518,0.003113571719642612,0.12575957854765205,True
TW_7b33a493697b,PS_023,PS_022,SplineRidge,CS4,True,ok,564,0.0599693910010461,0.04286857687677322,0.017100814124272876,0.3989125688363667,True
TW_7b33a493697b,PS_023,PS_024,SplineRidge,CS4,True,ok,1669,0.05240029982068792,0.05090779842950715,0.0014925013911807686,0.029317735930919492,True
TW_7b33a493697b,PS_023,PS_026,SplineRidge,CS4,True,ok,1509,0.07255969058868224,0.0544464447595769,0.01811324582910534,0.3326800475052009,True
TW_7b33a493697b,PS_023,PS_030,SplineRidge,CS4,True,ok,1348,0.04871235388118915,0.04642283420959567,0.002289519671593479,0.04931882575838577,True
TW_7b33a493697b,PS_024,PS_004,SplineRidge,CS4,True,ok,384,0.023376777095340872,0.02304944061445501,0.00032733648088586337,0.014201493492236018,True
TW_7b33a493697b,PS_024,PS_017,SplineRidge,CS4,True,ok,573,0.03741919836572385,0.03795793801934199,-0.0005387396536181421,-0.014193069532481452,True
TW_7b33a493697b,PS_024,PS_020,SplineRidge,CS4,True,ok,260,0.0198239438346095,0.013736864884207365,0.006087078950402135,0.4431199550779717,True
TW_7b33a493697b,PS_024,PS_022,SplineRidge,CS4,True,ok,261,0.037612207699453205,0.02411708149312677,0.013495126206326435,0.5595671354418431,True
TW_7b33a493697b,PS_024,PS_023,SplineRidge,CS4,True,ok,1199,0.04576969395465307,0.04202975827304371,0.003739935681609359,0.0889830404760622,True
TW_7b33a493697b,PS_024,PS_026,SplineRidge,CS4,True,ok,1211,0.06942170028113404,0.04530821172758361,0.024113488553550423,0.5322101145490619,True
TW_7b33a493697b,PS_024,PS_030,SplineRidge,CS4,True,ok,1023,0.048457918726211476,0.0457483352136582,0.002709583512553272,0.05922802436195151,True
TW_7b33a493697b,PS_026,PS_004,SplineRidge,CS4,True,ok,539,0.03369081616479238,0.02349729241990729,0.01019352374488509,0.43381695059678327,True
TW_7b33a493697b,PS_026,PS_017,SplineRidge,CS4,True,ok,1255,0.06590819969693752,0.05385306896157403,0.01205513073536349,0.22385225146528287,True
TW_7b33a493697b,PS_026,PS_020,SplineRidge,CS4,True,ok,433,0.023993949777906025,0.018614411387662896,0.005379538390243129,0.2889985763293345,True
TW_7b33a493697b,PS_026,PS_022,SplineRidge,CS4,True,ok,474,0.038559377694266345,0.04024709862400863,-0.0016877209297422868,-0.04193397753982468,True
TW_7b33a493697b,PS_026,PS_023,SplineRidge,CS4,True,ok,1443,0.0676578874538402,0.045219585986688814,0.022438301467151388,0.4962075830096388,True
TW_7b33a493697b,PS_026,PS_024,SplineRidge,CS4,True,ok,1661,0.07139269302872822,0.05062965590411197,0.020763037124616253,0.41009635072258016,True
TW_7b33a493697b,PS_026,PS_030,SplineRidge,CS4,True,ok,1464,0.063234230551101,0.04724069200648716,0.01599353854461384,0.338554281601497,True
TW_7b33a493697b,PS_030,PS_004,SplineRidge,CS4,True,ok,533,0.023618498654949478,0.024752669764881514,-0.0011341711099320355,-0.04582015276352815,True
TW_7b33a493697b,PS_030,PS_017,SplineRidge,CS4,True,ok,1690,0.04969614778829864,0.05507516588317081,-0.005379018094872172,-0.09766685235742206,True
TW_7b33a493697b,PS_030,PS_020,SplineRidge,CS4,True,ok,766,0.03402065106494765,0.03307779888247042,0.0009428521824772287,0.028504078697234394,True
TW_7b33a493697b,PS_030,PS_022,SplineRidge,CS4,True,ok,829,0.07432684279884809,0.05877106699567156,0.015555775803176526,0.2646842502335749,True
TW_7b33a493697b,PS_030,PS_023,SplineRidge,CS4,True,ok,1062,0.039589232676785914,0.0382584281080784,0.0013308045687075165,0.034784611770981584,True
TW_7b33a493697b,PS_030,PS_024,SplineRidge,CS4,True,ok,1515,0.05255663305376481,0.04952202589385493,0.0030346071599098787,0.06127792845983782,True
TW_7b33a493697b,PS_030,PS_026,SplineRidge,CS4,True,ok,1963,0.07156378186794579,0.06456092884684436,0.0070028530211014295,0.10846890133371614,True
