plant_id,exact_twin_group_id,is_exact_twin_member,brazil_federative_unit,first_observed_timestamp,last_observed_timestamp,n_calendar_days_with_any_row,n_rows_union,n_rows_both_sources,n_rows_inverter_only,n_rows_meteorological_only,observed_reference_inverter_count,n_unique_inverter_ids_over_period,n_rows_dc_target_constructible,n_rows_ac_target_constructible,n_rows_target_plus_any_meteorology,n_rows_core_candidate_complete_case,n_rows_daylight_gt_20,n_rows_daylight_gt_50,n_rows_daylight_gt_100,n_days_daylight_gt_20,n_days_daylight_gt_50,n_days_daylight_gt_100,missing_pct_y_dc_normalized,missing_pct_poa_irradiance_wm2,missing_pct_ghi_irradiance_wm2,missing_pct_gri_irradiance_wm2,missing_pct_panel_temperature_celsius,missing_pct_ambient_temperature_celsius,missing_pct_wind_speed_ms,missing_pct_wind_direction_degrees,missing_pct_precipitation_accumulated_mm,interpolated_pct_dc_among_flag_interpretable_rows,interpolated_pct_poa_irradiance_wm2,interpolated_pct_ghi_irradiance_wm2,interpolated_pct_gri_irradiance_wm2,interpolated_pct_panel_temperature_celsius,interpolated_pct_ambient_temperature_celsius,interpolated_pct_wind_speed_ms,interpolated_pct_wind_direction_degrees,interpolated_pct_precipitation_accumulated_mm,coverage_dc_min,coverage_dc_median,coverage_dc_max,coverage_ac_min,coverage_ac_median,coverage_ac_max
PS_021,TW_f8e8375afe38,true,SP,2024-09-23T00:00:00Z,2025-06-09T23:45:00Z,260,24960,18624,6336,0,15,15,23457,23457,16546,0,8247,7666,7037,184,184,184,0.060216346153846155,0.3262820512820513,0.3262820512820513,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_022,TW_7b33a493697b,true,SP,2024-09-23T00:00:00Z,2025-06-09T23:45:00Z,260,24960,23904,0,1056,10,10,23190,23190,15125,0,8923,8311,7526,200,200,200,0.07091346153846154,0.34447115384615384,0.34447115384615384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_023,TW_7b33a493697b,true,SP,2024-09-23T00:00:00Z,2025-06-09T23:45:00Z,260,24960,24000,0,960,10,10,22946,22946,20249,0,11536,10701,9717,257,257,257,0.08068910256410257,0.14158653846153846,0.14158653846153846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_024,TW_7b33a493697b,true,SP,2024-10-09T00:00:00Z,2025-06-09T23:45:00Z,244,23424,23424,0,0,10,10,19315,19315,17415,0,9533,8861,8036,221,220,220,0.17541837431693988,0.21917691256830601,0.21917691256830601,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_025,TW_f8e8375afe38,true,SP,2024-10-02T00:00:00Z,2025-06-09T23:45:00Z,251,24096,24000,96,0,15,15,19925,19925,18301,0,9770,9088,8202,219,219,219,0.17309926958831343,0.22377158034528552,0.22377158034528552,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_026,TW_7b33a493697b,true,SP,2024-09-27T00:00:00Z,2025-06-09T23:45:00Z,256,24576,24576,0,0,10,10,22213,22213,19490,0,11118,10347,9450,250,250,250,0.09615071614583333,0.18387858072916666,0.18387858072916666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_027,TW_f8e8375afe38,true,SP,2024-09-30T00:00:00Z,2025-06-09T23:45:00Z,253,24288,19296,4992,0,15,15,21564,21564,14769,0,8516,7873,7204,192,192,192,0.11215415019762846,0.37874670619235834,0.37874670619235834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_028,,false,SP,2024-10-01T00:00:00Z,2025-06-09T23:45:00Z,252,24192,24192,0,0,4,4,22667,22667,22667,0,11360,10661,9767,249,249,249,0.06303736772486772,0.11301256613756613,0.11301256613756613,1.0,0.11301256613756613,0.11301256613756613,0.11301256613756613,1.0,0.0023148148148148147,1.0,1.0,1.0,,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_029,TW_f8e8375afe38,true,SP,2024-09-30T00:00:00Z,2025-06-09T23:45:00Z,253,24288,24000,288,0,15,15,23022,23022,18725,0,4376,4046,3610,121,120,119,0.05212450592885375,0.2177618577075099,0.21767951251646903,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_030,TW_7b33a493697b,true,SP,2024-10-02T00:00:00Z,2025-06-09T23:45:00Z,251,24096,24096,0,0,10,10,21145,21145,17705,0,9345,8692,7987,230,229,228,0.12246845949535193,0.2489624833997344,0.2489624833997344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_031,TW_f8e8375afe38,true,SP,2024-10-04T00:00:00Z,2025-03-22T23:45:00Z,170,16320,16320,0,0,15,15,14332,14332,12151,0,6859,6366,5792,157,157,157,0.12181372549019608,0.2462622549019608,0.2462622549019608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_032,TW_f8e8375afe38,true,SP,2024-10-04T00:00:00Z,2025-06-09T23:45:00Z,249,23904,23904,0,0,15,15,22450,22450,17070,0,8652,7895,7150,210,210,210,0.06082663989290495,0.2740963855421687,0.2740963855421687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_033,,false,SP,2024-10-08T00:00:00Z,2025-06-09T23:45:00Z,245,23520,23520,0,0,12,12,19772,19772,19771,0,9962,9384,8733,229,229,228,0.15935374149659864,0.1933673469387755,0.1933673469387755,1.0,0.19340986394557824,0.19340986394557824,0.19345238095238096,1.0,0.0025935374149659864,1.0,1.0,1.0,,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_034,,false,SP,2024-10-10T00:00:00Z,2025-06-09T23:45:00Z,243,23328,23328,0,0,16,16,21005,21005,21005,501,8751,7831,7140,186,184,181,0.09957990397805212,0.2665895061728395,0.2665895061728395,0.9784379286694102,0.26663237311385457,0.2665895061728395,0.2666752400548697,1.0,0.0019718792866941014,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_035,TW_88a108921af7,true,SP,2024-11-25T00:00:00Z,2025-06-09T23:45:00Z,197,18912,18912,0,0,20,20,18383,18383,18383,18080,8990,8508,7881,197,197,197,0.02797165820642978,0.043993231810490696,0.043993231810490696,0.043993231810490696,0.043993231810490696,0.043993231810490696,0.043993231810490696,0.043993231810490696,0.00327834179357022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0
PS_036,,false,SP,2024-11-26T00:00:00Z,2025-06-09T23:45:00Z,196,18816,18816,0,0,10,10,17361,17361,17361,13476,6624,6262,5846,152,152,151,0.07732780612244898,0.28380102040816324,0.28380102040816324,0.28380102040816324,0.28380102040816324,0.28380102040816324,0.28380102040816324,0.28380102040816324,0.003241921768707483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0
PS_037,,false,RJ,2024-12-02T00:00:00Z,2025-06-09T23:45:00Z,190,18240,18144,96,0,8,8,15954,15954,15849,14705,6873,6220,5513,172,171,167,0.12532894736842104,0.19380482456140352,0.19380482456140352,0.19380482456140352,0.19380482456140352,0.19380482456140352,0.19380482456140352,0.19380482456140352,0.009210526315789473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0
PS_038,,false,SP,2024-12-02T00:00:00Z,2025-06-09T23:45:00Z,190,18240,18240,0,0,10,10,17964,17964,17964,17709,8667,8188,7607,190,190,190,0.015131578947368421,0.029111842105263158,0.029111842105263158,0.029111842105263158,0.029111842105263158,0.029111842105263158,0.029111842105263158,0.029111842105263158,0.003344298245614035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0
PS_039,TW_88a108921af7,true,SP,2024-12-06T00:00:00Z,2025-06-09T23:45:00Z,186,17856,17856,0,0,20,20,16172,16172,16171,16350,7844,7337,6699,186,186,186,0.0943100358422939,0.08434139784946236,0.08434139784946236,0.08434139784946236,0.08434139784946236,0.08434139784946236,0.08434139784946236,0.08434139784946236,0.004480286738351254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,0.0,1.0,1.0
PS_040,,false,SP,2024-12-19T00:00:00Z,2025-06-09T23:45:00Z,173,16608,13056,3552,0,4,4,15389,15389,12789,0,6274,5811,5190,135,135,135,0.07339836223506743,0.23000963391136803,0.23000963391136803,1.0,0.23000963391136803,0.23000963391136803,0.23000963391136803,1.0,0.21778660886319845,1.0,1.0,1.0,,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_041,,false,MG,2024-12-17T00:00:00Z,2025-06-09T23:45:00Z,175,16800,16800,0,0,9,9,13420,13420,13420,12887,6070,5725,5324,142,141,141,0.2011904761904762,0.23285714285714285,0.23285714285714285,0.23291666666666666,0.23285714285714285,0.23285714285714285,0.23285714285714285,1.0,0.002976190476190476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.8888888888888888,1.0,0.0,0.8888888888888888,1.0
PS_042,TW_4467a039e00b,true,GO,2025-02-28T00:00:00Z,2025-06-09T23:45:00Z,102,9792,9792,0,0,8,8,9450,9450,9450,9699,4488,4132,3869,102,101,101,0.034926470588235295,0.009497549019607842,0.009497549019607842,0.009497549019607842,0.009497549019607842,0.009497549019607842,0.009497549019607842,0.9789624183006536,0.006127450980392157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_043,TW_4467a039e00b,true,GO,2025-02-28T00:00:00Z,2025-06-09T23:45:00Z,102,9792,9792,0,0,8,8,9179,9179,9179,9438,4518,4089,3842,101,100,100,0.06260212418300654,0.03615196078431373,0.03615196078431373,0.03615196078431373,0.03615196078431373,0.03615196078431373,0.03615196078431373,0.9789624183006536,0.006127450980392157,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_044,TW_4467a039e00b,true,GO,2025-02-28T00:00:00Z,2025-06-09T23:45:00Z,102,9792,9792,0,0,8,8,9435,9435,9434,9690,4524,4207,3965,102,101,101,0.036458333333333336,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.9808006535947712,0.006229575163398693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_045,TW_4467a039e00b,true,MS,2025-02-28T00:00:00Z,2025-06-09T23:45:00Z,102,9792,9792,0,0,20,20,9253,9253,9253,9682,4499,4127,3849,102,101,101,0.055044934640522875,0.011233660130718954,0.011233660130718954,0.011233660130718954,0.011233660130718954,0.011233660130718954,0.011233660130718954,0.9809027777777778,0.006433823529411764,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_046,TW_4467a039e00b,true,MS,2025-02-28T00:00:00Z,2025-06-09T23:45:00Z,102,9792,9792,0,0,20,20,9294,9294,9294,9653,4486,4129,3837,102,101,101,0.0508578431372549,0.014195261437908497,0.014195261437908497,0.014195261437908497,0.014195261437908497,0.014195261437908497,0.014195261437908497,0.9809027777777778,0.006535947712418301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_047,TW_4467a039e00b,true,MS,2025-02-28T00:00:00Z,2025-06-09T23:45:00Z,102,9792,9792,0,0,20,20,9532,9532,9532,9629,4526,3868,3557,102,97,97,0.026552287581699346,0.01664624183006536,0.01664624183006536,0.01664624183006536,0.01664624183006536,0.01664624183006536,0.01664624183006536,0.9418913398692811,0.0066380718954248364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,0.8,1.0,0.0,0.8,1.0
PS_048,TW_4467a039e00b,true,GO,2025-02-28T00:00:00Z,2025-06-09T23:45:00Z,102,9792,9792,0,0,8,8,9424,9424,9424,8307,4062,3711,3499,92,91,91,0.03758169934640523,0.15165441176470587,0.15165441176470587,0.15165441176470587,0.15165441176470587,0.15165441176470587,0.15165441176470587,0.9809027777777778,0.0066380718954248364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_049,TW_4467a039e00b,true,GO,2025-02-28T00:00:00Z,2025-06-09T23:45:00Z,102,9792,9792,0,0,8,8,9401,9401,9401,8550,4055,3748,3541,92,91,91,0.03993055555555555,0.12683823529411764,0.12683823529411764,0.12683823529411764,0.12683823529411764,0.12683823529411764,0.12683823529411764,0.9809027777777778,0.0066380718954248364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_050,TW_4467a039e00b,true,GO,2025-02-28T00:00:00Z,2025-06-09T23:45:00Z,102,9792,9792,0,0,8,8,9540,9540,9540,9654,4552,4233,3983,102,101,101,0.025735294117647058,0.014093137254901961,0.014093137254901961,0.014093137254901961,0.014093137254901961,0.014093137254901961,0.014093137254901961,0.9809027777777778,0.0066380718954248364,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
PS_051,TW_4467a039e00b,true,BA,2025-03-10T00:00:00Z,2025-06-09T23:45:00Z,92,8832,8832,0,0,8,8,8484,8484,8484,8655,4128,3781,3537,92,91,91,0.03940217391304348,0.020040760869565216,0.020040760869565216,0.020040760869565216,0.020040760869565216,0.020040760869565216,0.020040760869565216,0.9767889492753623,0.006340579710144928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,0.0,1.0,1.0,0.0,1.0,1.0
