plant_id,step,n_rows
PS_043,both_inverter_and_meteorological,9792
PS_043,core_candidate_complete_case,9438
PS_043,daylight_poa_gt_100,3842
PS_043,daylight_poa_gt_20,4518
PS_043,daylight_poa_gt_50,4089
PS_043,union_observed_timestamps,9792
PS_043,valid_dc_target,9179
PS_043,valid_dc_target_plus_poa,9171
PS_044,both_inverter_and_meteorological,9792
PS_044,core_candidate_complete_case,9690
PS_044,daylight_poa_gt_100,3965
PS_044,daylight_poa_gt_20,4524
PS_044,daylight_poa_gt_50,4207
PS_044,union_observed_timestamps,9792
PS_044,valid_dc_target,9435
PS_044,valid_dc_target_plus_poa,9427
PS_045,both_inverter_and_meteorological,9792
PS_045,core_candidate_complete_case,9682
PS_045,daylight_poa_gt_100,3849
PS_045,daylight_poa_gt_20,4499
PS_045,daylight_poa_gt_50,4127
PS_045,union_observed_timestamps,9792
PS_045,valid_dc_target,9253
PS_045,valid_dc_target_plus_poa,9243
PS_046,both_inverter_and_meteorological,9792
PS_046,core_candidate_complete_case,9653
PS_046,daylight_poa_gt_100,3837
PS_046,daylight_poa_gt_20,4486
PS_046,daylight_poa_gt_50,4129
PS_046,union_observed_timestamps,9792
PS_046,valid_dc_target,9294
PS_046,valid_dc_target_plus_poa,9288
PS_047,both_inverter_and_meteorological,9792
PS_047,core_candidate_complete_case,9629
PS_047,daylight_poa_gt_100,3557
PS_047,daylight_poa_gt_20,4526
PS_047,daylight_poa_gt_50,3868
PS_047,union_observed_timestamps,9792
PS_047,valid_dc_target,9532
PS_047,valid_dc_target_plus_poa,9501
PS_048,both_inverter_and_meteorological,9792
PS_048,core_candidate_complete_case,8307
PS_048,daylight_poa_gt_100,3499
PS_048,daylight_poa_gt_20,4062
PS_048,daylight_poa_gt_50,3711
PS_048,union_observed_timestamps,9792
PS_048,valid_dc_target,9424
PS_048,valid_dc_target_plus_poa,8082
PS_049,both_inverter_and_meteorological,9792
PS_049,core_candidate_complete_case,8550
PS_049,daylight_poa_gt_100,3541
PS_049,daylight_poa_gt_20,4055
PS_049,daylight_poa_gt_50,3748
PS_049,union_observed_timestamps,9792
PS_049,valid_dc_target,9401
PS_049,valid_dc_target_plus_poa,8328
PS_050,both_inverter_and_meteorological,9792
PS_050,core_candidate_complete_case,9654
PS_050,daylight_poa_gt_100,3983
PS_050,daylight_poa_gt_20,4552
PS_050,daylight_poa_gt_50,4233
PS_050,union_observed_timestamps,9792
PS_050,valid_dc_target,9540
PS_050,valid_dc_target_plus_poa,9534
PS_051,both_inverter_and_meteorological,8832
PS_051,core_candidate_complete_case,8655
PS_051,daylight_poa_gt_100,3537
PS_051,daylight_poa_gt_20,4128
PS_051,daylight_poa_gt_50,3781
PS_051,union_observed_timestamps,8832
PS_051,valid_dc_target,8484
PS_051,valid_dc_target_plus_poa,8428
