group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,primary_computable,d_pair,source_full_duration,target_full_duration,duration_imbalance,shorter_side,n_source_matched,n_target_matched,source_matched_start,source_matched_end,target_matched_start,target_matched_end,source_matched_elapsed,target_matched_elapsed,matched_row_ratio
TW_4467a039e00b,PS_048,PS_051,SplineRidge,CS4_R10,False,False,52.947916666666664,64.84375,52.947916666666664,11.895833333333336,target,1691,2239,2025-03-12T13:30:00+00:00,2025-05-04T12:15:00+00:00,2025-03-10T13:45:00+00:00,2025-05-02T12:30:00+00:00,52.947916666666664,52.947916666666664,0.7552478785171952
TW_4467a039e00b,PS_049,PS_042,SplineRidge,CS4_R10,False,True,58.114583333333336,64.91666666666667,58.114583333333336,6.802083333333336,target,1830,2455,2025-03-07T11:15:00+00:00,2025-05-04T14:00:00+00:00,2025-02-28T15:00:00+00:00,2025-04-27T17:45:00+00:00,58.114583333333336,58.114583333333336,0.745417515274949
TW_4467a039e00b,PS_049,PS_043,SplineRidge,CS4_R10,False,True,59.979166666666664,64.91666666666667,59.979166666666664,4.937500000000007,target,1910,2370,2025-03-05T14:30:00+00:00,2025-05-04T14:00:00+00:00,2025-02-28T14:45:00+00:00,2025-04-29T14:15:00+00:00,59.979166666666664,59.979166666666664,0.8059071729957806
TW_4467a039e00b,PS_049,PS_044,SplineRidge,CS4_R10,False,True,58.854166666666664,64.91666666666667,58.854166666666664,6.062500000000007,target,1851,2503,2025-03-06T17:30:00+00:00,2025-05-04T14:00:00+00:00,2025-02-28T15:00:00+00:00,2025-04-28T11:30:00+00:00,58.854166666666664,58.854166666666664,0.7395125848981222
TW_4467a039e00b,PS_049,PS_045,SplineRidge,CS4_R10,False,True,62.927083333333336,64.91666666666667,62.927083333333336,1.9895833333333357,target,2039,2196,2025-03-02T15:45:00+00:00,2025-05-04T14:00:00+00:00,2025-02-28T15:30:00+00:00,2025-05-02T13:45:00+00:00,62.927083333333336,62.927083333333336,0.9285063752276868
TW_4467a039e00b,PS_049,PS_046,SplineRidge,CS4_R10,False,True,39.916666666666664,64.91666666666667,39.916666666666664,25.000000000000007,target,1025,1710,2025-03-25T16:00:00+00:00,2025-05-04T14:00:00+00:00,2025-02-28T15:45:00+00:00,2025-04-09T13:45:00+00:00,39.916666666666664,39.916666666666664,0.5994152046783626
TW_4467a039e00b,PS_049,PS_047,SplineRidge,CS4_R10,False,True,43.854166666666664,64.91666666666667,43.854166666666664,21.062500000000007,target,1195,1725,2025-03-21T17:30:00+00:00,2025-05-04T14:00:00+00:00,2025-02-28T16:00:00+00:00,2025-04-13T12:30:00+00:00,43.854166666666664,43.854166666666664,0.6927536231884058
TW_4467a039e00b,PS_049,PS_048,SplineRidge,CS4_R10,False,True,64.84375,64.91666666666667,64.84375,0.0729166666666714,target,2122,2215,2025-02-28T17:45:00+00:00,2025-05-04T14:00:00+00:00,2025-02-28T16:00:00+00:00,2025-05-04T12:15:00+00:00,64.84375,64.84375,0.9580135440180587
TW_4467a039e00b,PS_049,PS_050,SplineRidge,CS4_R10,False,True,59.03125,64.91666666666667,59.03125,5.885416666666671,target,1868,2521,2025-03-06T13:15:00+00:00,2025-05-04T14:00:00+00:00,2025-02-28T16:00:00+00:00,2025-04-28T16:45:00+00:00,59.03125,59.03125,0.7409758032526775
TW_4467a039e00b,PS_049,PS_051,SplineRidge,CS4_R10,False,True,52.947916666666664,64.91666666666667,52.947916666666664,11.968750000000007,target,1582,2239,2025-03-12T15:15:00+00:00,2025-05-04T14:00:00+00:00,2025-03-10T13:45:00+00:00,2025-05-02T12:30:00+00:00,52.947916666666664,52.947916666666664,0.7065654309959803
