group_id,plant_a,plant_b,a_to_b_computable,b_to_a_computable,otg_a_to_b,otg_b_to_a,asymmetry_signed,asymmetry_abs,asymmetry_computable,primary_both_computable,duration_imbalance,abs_A_primary,abs_A_change
TW_4467a039e00b,PS_043,PS_049,True,True,0.009827296500173013,-0.01349829768504137,0.023325594185214384,0.023325594185214384,True,True,4.937500000000007,0.02411999096160925,0.0007943967763948678
TW_4467a039e00b,PS_043,PS_050,True,True,0.017749331253946392,-0.01935342792709587,0.037102759181042264,0.037102759181042264,True,True,0.9479166666666643,0.038092173824903014,0.0009894146438607504
TW_4467a039e00b,PS_043,PS_051,True,True,0.03563180871165916,-0.019353599854591674,0.05498540856625084,0.05498540856625084,True,True,7.03125,0.056187477722178664,0.0012020691559278263
TW_4467a039e00b,PS_044,PS_045,True,True,0.003560365098237421,0.018664669477690743,-0.015104304379453322,0.015104304379453322,True,True,4.072916666666671,0.015610495058470696,0.0005061906790173737
TW_4467a039e00b,PS_044,PS_046,True,True,0.006615745630533881,-0.007784900523844354,0.014400646154378235,0.014400646154378235,True,True,18.9375,0.008009191715341216,-0.00639145443903702
TW_4467a039e00b,PS_044,PS_047,True,True,0.009726228984224289,0.11896169527717311,-0.10923546629294882,0.10923546629294882,True,True,15.0,0.1115159358508125,0.002280469557863679
TW_4467a039e00b,PS_044,PS_048,True,False,0.009325713906682735,,,,False,False,5.989583333333336,,
TW_4467a039e00b,PS_044,PS_049,True,True,0.004948223359107856,0.012758890199475473,-0.007810666840367617,0.007810666840367617,True,True,6.062500000000007,0.0010815119947428717,-0.006729154845624745
TW_4467a039e00b,PS_044,PS_050,True,True,0.005316920331669819,0.00442122982362704,0.0008956905080427791,0.0008956905080427791,True,True,0.1770833333333357,0.0006483280406442415,-0.0002473624673985375
TW_4467a039e00b,PS_044,PS_051,True,True,0.041299353758947416,0.02553889120514155,0.015760462553805865,0.015760462553805865,True,True,5.90625,0.017412725631376302,0.0016522630775704372
TW_4467a039e00b,PS_045,PS_046,True,True,0.005756373614957844,-0.0014050898305321274,0.007161463445489971,0.007161463445489971,True,True,23.01041666666667,0.00416480305779833,-0.002996660387691641
TW_4467a039e00b,PS_045,PS_047,True,True,-0.03119725244379838,0.10678712747937431,-0.1379843799231727,0.1379843799231727,True,True,19.07291666666667,0.13718300261628877,-0.0008013773068839269
TW_4467a039e00b,PS_045,PS_048,True,False,0.011314223777664556,,,,False,False,1.9166666666666643,,
TW_4467a039e00b,PS_045,PS_049,True,True,0.005835929105712762,0.005916040250221757,-8.011114450899581e-05,8.011114450899581e-05,True,True,1.9895833333333357,0.00043263160848153875,0.00035252046397254294
TW_4467a039e00b,PS_045,PS_050,True,True,0.004228677945922313,0.0008329792223640206,0.0033956987235582922,0.0033956987235582922,True,True,3.8958333333333357,0.0027571046108156236,-0.0006385941127426686
TW_4467a039e00b,PS_045,PS_051,True,True,0.03283519645977788,0.006554083627823171,0.02628111283195471,0.02628111283195471,True,True,9.979166666666671,0.02493663055749732,-0.0013444822744573884
TW_4467a039e00b,PS_046,PS_047,True,True,-0.04077821359493124,0.06565078693545257,-0.1064290005303838,0.1064290005303838,True,True,3.9375,0.10401646517471672,-0.0024125353556670864
TW_4467a039e00b,PS_046,PS_048,True,False,0.01001077901654747,,,,False,False,24.927083333333336,,
TW_4467a039e00b,PS_046,PS_049,True,True,0.009142406804273598,0.007884603978205784,0.0012578028260678137,0.0012578028260678137,True,True,25.000000000000007,0.0030687334465541866,0.0018109306204863729
TW_4467a039e00b,PS_046,PS_050,True,True,-0.005708006180631275,0.008347819124532238,-0.014055825305163513,0.014055825305163513,True,True,19.114583333333336,0.001954597430107688,-0.012101227875055826
TW_4467a039e00b,PS_046,PS_051,True,True,0.018617772496087842,-0.0023921903746525336,0.021009962870740376,0.021009962870740376,True,True,13.03125,0.02323538283754218,0.0022254199668018046
TW_4467a039e00b,PS_047,PS_048,True,False,0.08554081600889009,,,,False,False,20.989583333333336,,
TW_4467a039e00b,PS_047,PS_049,True,True,0.10865718300639383,-0.0067620662953143534,0.11541924930170819,0.11541924930170819,True,True,21.062500000000007,0.12882734996330408,0.013408100661595895
TW_4467a039e00b,PS_047,PS_050,True,True,0.11166767760585208,-0.033198057488509986,0.14486573509436207,0.14486573509436207,True,True,15.177083333333336,0.15186303328509856,0.006997298190736495
TW_4467a039e00b,PS_047,PS_051,True,True,0.10595553166647052,0.011086439508489816,0.0948690921579807,0.0948690921579807,True,True,9.09375,0.09468134565657335,-0.00018774650140734872
TW_4467a039e00b,PS_048,PS_049,False,True,,0.010269799995173884,,,False,False,0.0729166666666714,,
TW_4467a039e00b,PS_048,PS_050,False,True,,0.009128404881564488,,,False,False,5.8125,,
TW_4467a039e00b,PS_048,PS_051,False,True,,0.008146851295620004,,,False,False,11.895833333333336,,
TW_4467a039e00b,PS_049,PS_050,True,True,0.010188502469737154,0.004134358347615982,0.006054144122121172,0.006054144122121172,True,True,5.885416666666671,0.00303119432113675,-0.0030229498009844216
TW_4467a039e00b,PS_049,PS_051,True,True,0.030415873798142513,-0.0034531791883229343,0.03386905298646545,0.03386905298646545,True,True,11.968750000000007,0.018256868350896564,-0.015612184635568883
TW_4467a039e00b,PS_050,PS_051,True,True,0.008143878843805588,0.0031304319332789085,0.00501344691052668,0.00501344691052668,True,True,6.083333333333336,0.004654716284435721,-0.0003587306260909584
TW_88a108921af7,PS_035,PS_039,True,True,-0.012824645710964477,-0.0047196467685485105,-0.008104998942415967,0.008104998942415967,True,True,0.9270833333333286,0.008665867873552488,0.0005608689311365211
