group_id,plant_a,plant_b,a_to_b_computable,b_to_a_computable,otg_a_to_b,otg_b_to_a,asymmetry_signed,asymmetry_abs,asymmetry_computable,reason_a_to_b,reason_b_to_a
TW_4467a039e00b,PS_043,PS_049,True,True,0.009391758907144818,-0.014728232054464434,0.02411999096160925,0.02411999096160925,True,,
TW_4467a039e00b,PS_043,PS_050,True,True,0.01803926876567121,-0.020052905059231803,0.038092173824903014,0.038092173824903014,True,,
TW_4467a039e00b,PS_043,PS_051,True,True,0.03570076303226996,-0.020486714689908703,0.056187477722178664,0.056187477722178664,True,,
TW_4467a039e00b,PS_044,PS_045,True,True,0.0036192237936387914,0.019229718852109487,-0.015610495058470696,0.015610495058470696,True,,
TW_4467a039e00b,PS_044,PS_046,True,True,0.0039133863461248974,-0.004095805369216318,0.008009191715341216,0.008009191715341216,True,,
TW_4467a039e00b,PS_044,PS_047,True,True,0.0071577689784308035,0.1186737048292433,-0.1115159358508125,0.1115159358508125,True,,
TW_4467a039e00b,PS_044,PS_048,True,False,0.009131841598326293,,,,False,,degenerate_iqr:wind_speed_ms
TW_4467a039e00b,PS_044,PS_049,True,True,0.005280386613518866,0.006361898608261737,-0.0010815119947428717,0.0010815119947428717,True,,
TW_4467a039e00b,PS_044,PS_050,True,True,0.005192983227140013,0.004544655186495772,0.0006483280406442415,0.0006483280406442415,True,,
TW_4467a039e00b,PS_044,PS_051,True,True,0.043140033374770945,0.025727307743394642,0.017412725631376302,0.017412725631376302,True,,
TW_4467a039e00b,PS_045,PS_046,True,True,0.004750100426155618,0.0005852973683572876,0.00416480305779833,0.00416480305779833,True,,
TW_4467a039e00b,PS_045,PS_047,True,True,-0.029810222612715945,0.10737278000357282,-0.13718300261628877,0.13718300261628877,True,,
TW_4467a039e00b,PS_045,PS_048,True,False,0.011835130218339714,,,,False,,degenerate_iqr:wind_speed_ms
TW_4467a039e00b,PS_045,PS_049,True,True,0.005187873056353466,0.005620504664835005,-0.00043263160848153875,0.00043263160848153875,True,,
TW_4467a039e00b,PS_045,PS_050,True,True,0.003812474935823658,0.0010553703250080343,0.0027571046108156236,0.0027571046108156236,True,,
TW_4467a039e00b,PS_045,PS_051,True,True,0.031137410707577397,0.006200780150080076,0.02493663055749732,0.02493663055749732,True,,
TW_4467a039e00b,PS_046,PS_047,True,True,-0.0397182861422483,0.06429817903246841,-0.10401646517471672,0.10401646517471672,True,,
TW_4467a039e00b,PS_046,PS_048,True,False,0.008756843000090206,,,,False,,degenerate_iqr:wind_speed_ms
TW_4467a039e00b,PS_046,PS_049,True,True,0.010210397068968896,0.0071416636224147095,0.0030687334465541866,0.0030687334465541866,True,,
TW_4467a039e00b,PS_046,PS_050,True,True,0.002475850877267316,0.0005212534471596281,0.001954597430107688,0.001954597430107688,True,,
TW_4467a039e00b,PS_046,PS_051,True,True,0.021626927752497353,-0.001608455085044827,0.02323538283754218,0.02323538283754218,True,,
TW_4467a039e00b,PS_047,PS_048,True,False,0.08546893876819055,,,,False,,degenerate_iqr:wind_speed_ms
TW_4467a039e00b,PS_047,PS_049,True,True,0.1118111049686951,-0.017016244994608992,0.12882734996330408,0.12882734996330408,True,,
TW_4467a039e00b,PS_047,PS_050,True,True,0.1148626912301649,-0.03700034205493366,0.15186303328509856,0.15186303328509856,True,,
TW_4467a039e00b,PS_047,PS_051,True,True,0.1065666629733675,0.011885317316794146,0.09468134565657335,0.09468134565657335,True,,
TW_4467a039e00b,PS_048,PS_049,False,True,,0.010044521111434682,,,False,degenerate_iqr:wind_speed_ms,
