source_plant_id,feature,n_source_train,median,q1,q3,iqr,scaler_computable,reason
PS_046,wind_speed_ms,1710,2.671047873018364,1.8760385124620034,3.6116241126047037,1.7355856001427004,True,
PS_047,ambient_temperature_celsius,1725,28.933067519466192,25.910980443662414,31.01135034856852,5.100369904906106,True,
PS_047,ghi_irradiance_wm2,1725,478.04011538086684,204.63181251421133,789.4167379871517,584.7849254729404,True,
PS_047,gri_irradiance_wm2,1725,46.10717152779026,29.30469795176521,55.709838042255285,26.405140090490075,True,
PS_047,panel_temperature_celsius,1725,43.23536368079272,31.41108800074525,49.98938527051929,18.578297269774044,True,
PS_047,poa_irradiance_wm2,1725,624.7421839452988,245.42835538512458,937.3931715352762,691.9648161501516,True,
PS_047,wind_speed_ms,1725,2.2609993278522236,1.4709274850955536,3.2268026280125794,1.7558751429170258,True,
PS_048,ambient_temperature_celsius,2215,30.638456362864552,27.655828051454872,32.260045583643034,4.604217532188162,True,
PS_048,ghi_irradiance_wm2,2215,486.32586713105127,236.3395856333932,782.5463358504503,546.2067502170571,True,
PS_048,gri_irradiance_wm2,2215,49.9432644343277,31.407356341799392,62.210148416098264,30.80279207429887,True,
PS_048,panel_temperature_celsius,2215,37.3542314185177,30.639993233870335,43.34174271107226,12.701749477201922,True,
PS_048,poa_irradiance_wm2,2215,622.5420622140032,279.934030295657,917.3708208339478,637.4367905382908,True,
PS_048,wind_speed_ms,2215,0.0,0.0,0.0,0.0,False,degenerate_iqr:wind_speed_ms
PS_049,ambient_temperature_celsius,2129,28.593941708819617,25.878738955409467,31.11114529544247,5.232406340033002,True,
PS_049,ghi_irradiance_wm2,2129,509.3518147068684,249.37693744217668,787.4256064894071,538.0486690472304,True,
PS_049,gri_irradiance_wm2,2129,45.57852567364567,30.774169386917286,56.43954475224026,25.665375365322973,True,
PS_049,panel_temperature_celsius,2129,36.309440494132865,29.422355298681218,42.809284533999985,13.386929235318767,True,
PS_049,poa_irradiance_wm2,2129,712.6469849061122,337.27539495854745,946.9696618636528,609.6942669051055,True,
PS_049,wind_speed_ms,2129,2.260649491834676,1.5444542158095673,2.9948714447444336,1.4504172289348662,True,
PS_050,ambient_temperature_celsius,2521,28.09011291928574,25.38992200413972,30.051831465348208,4.661909461208488,True,
PS_050,ghi_irradiance_wm2,2521,504.77403189025705,244.25115972905957,782.7231294246391,538.4719696955794,True,
PS_050,gri_irradiance_wm2,2521,46.97816972777803,30.031102918048383,61.20854472622232,31.17744180817394,True,
PS_050,panel_temperature_celsius,2521,40.62241123357779,31.72302907062158,47.40726368225524,15.684234611633663,True,
PS_050,poa_irradiance_wm2,2521,621.7640594033865,293.14142389727874,910.9358199386984,617.7943960414196,True,
PS_050,wind_speed_ms,2521,2.482032435159057,1.6323490168032653,3.4272855924937615,1.7949365756904962,True,
PS_051,ambient_temperature_celsius,2239,32.37384319937435,28.553574888572456,34.991818252635966,6.43824336406351,True,
PS_051,ghi_irradiance_wm2,2239,474.94948857676013,229.49816725167864,809.6196758523599,580.1215086006813,True,
PS_051,gri_irradiance_wm2,2239,90.15627598106963,51.956200598784356,125.98100682006223,74.02480622127788,True,
PS_051,panel_temperature_celsius,2239,43.93968610819551,35.56345395251947,48.58767294813334,13.024218995613872,True,
PS_051,poa_irradiance_wm2,2239,762.8751601263392,310.149007751064,1018.9269419986576,708.7779342475936,True,
PS_051,wind_speed_ms,2239,2.42978951505017,1.7113113772411368,3.1487015793037996,1.4373902020626628,True,
