group_id,source_plant_id,target_plant_id,rule_id,k,q,computable,reason,n_source_train,n_source_train_days,n_eligible_target_test,n_target_test_days,n_supported,n_supported_days,support_retention,threshold
TW_4467a039e00b,PS_045,PS_048,CS4,5,0.95,True,,2196,54,739,18,170,18,0.23004059539918809,0.694784995602642
TW_4467a039e00b,PS_045,PS_049,CS3,5,0.9,True,,2196,54,710,18,442,18,0.6225352112676056,0.610763330999349
TW_4467a039e00b,PS_045,PS_049,CS4,5,0.95,True,,2196,54,710,18,521,18,0.7338028169014085,0.694784995602642
TW_4467a039e00b,PS_045,PS_050,CS3,5,0.9,True,,2196,54,841,21,499,21,0.5933412604042806,0.610763330999349
TW_4467a039e00b,PS_045,PS_050,CS4,5,0.95,True,,2196,54,841,21,586,21,0.6967895362663495,0.694784995602642
TW_4467a039e00b,PS_045,PS_051,CS3,5,0.9,True,,2196,54,747,19,170,19,0.22757697456492637,0.610763330999349
TW_4467a039e00b,PS_045,PS_051,CS4,5,0.95,True,,2196,54,747,19,250,19,0.33467202141900937,0.694784995602642
TW_4467a039e00b,PS_046,PS_042,CS3,5,0.9,True,,1710,41,819,21,378,20,0.46153846153846156,0.5523083941386899
TW_4467a039e00b,PS_046,PS_042,CS4,5,0.95,True,,1710,41,819,21,472,20,0.5763125763125763,0.6448333873596003
TW_4467a039e00b,PS_046,PS_043,CS3,5,0.9,True,,1710,41,791,20,145,20,0.18331226295828065,0.5523083941386899
TW_4467a039e00b,PS_046,PS_043,CS4,5,0.95,True,,1710,41,791,20,286,20,0.3615676359039191,0.6448333873596003
TW_4467a039e00b,PS_046,PS_044,CS3,5,0.9,True,,1710,41,835,21,341,20,0.40838323353293415,0.5523083941386899
TW_4467a039e00b,PS_046,PS_044,CS4,5,0.95,True,,1710,41,835,21,463,21,0.5544910179640719,0.6448333873596003
TW_4467a039e00b,PS_046,PS_045,CS3,5,0.9,True,,1710,41,732,20,416,19,0.5683060109289617,0.5523083941386899
TW_4467a039e00b,PS_046,PS_045,CS4,5,0.95,True,,1710,41,732,20,502,19,0.6857923497267759,0.6448333873596003
TW_4467a039e00b,PS_046,PS_047,CS3,5,0.9,True,,1710,41,576,17,326,17,0.5659722222222222,0.5523083941386899
TW_4467a039e00b,PS_046,PS_047,CS4,5,0.95,True,,1710,41,576,17,425,17,0.7378472222222222,0.6448333873596003
TW_4467a039e00b,PS_046,PS_048,CS3,5,0.9,True,,1710,41,739,18,46,16,0.06224627875507442,0.5523083941386899
