group_id,source_plant_id,target_plant_id,model_family,analysis_role,support_rule,n_supported,n_supported_days,support_retention,transfer_mae,transfer_rmse,transfer_r2,transfer_bias,local_same_rows_mae,local_same_rows_rmse,local_same_rows_r2,local_same_rows_bias
TW_4467a039e00b,PS_043,PS_049,SplineRidge,primary,CS4,105,17,0.14788732394366197,0.07299013001897516,0.11419421488474148,0.7534666946635813,0.0045536660197490865,0.06359837111183034,0.11063798252609605,0.7685826648596887,0.007500887828436002
TW_4467a039e00b,PS_043,PS_050,HistGradientBoosting,r1_frozen_input,CS4,69,20,0.08204518430439953,0.06212058693437105,0.10385107928997397,0.7747020601885712,-0.021185262942127726,0.055606795780448706,0.09974743022709084,0.7921554584825445,-0.0013054368272426
TW_4467a039e00b,PS_043,PS_050,SplineRidge,primary,CS4,69,20,0.08204518430439953,0.0717641996830388,0.10276223931815463,0.7794016241059557,0.016133547201249814,0.053724930917367596,0.10195820876729465,0.7828401236108247,-0.0027485764822873906
TW_4467a039e00b,PS_043,PS_051,HistGradientBoosting,r1_frozen_input,CS4,411,18,0.5502008032128514,0.10351830742882584,0.17242975096306343,0.6871646986037423,-0.011248511424088939,0.07194909152599589,0.16573598292720182,0.7109819482895552,0.034870212422150736
TW_4467a039e00b,PS_043,PS_051,SplineRidge,primary,CS4,411,18,0.5502008032128514,0.11149055719659673,0.16825713872669285,0.702122053596865,-0.004438162946029821,0.07578979416432677,0.16229373420842333,0.7228627784866767,0.03053208760989668
TW_4467a039e00b,PS_044,PS_042,HistGradientBoosting,r1_frozen_input,CS4,578,20,0.7057387057387058,0.05401584402882282,0.07855530880100554,0.9219764482395395,-0.030054041263131222,0.055257059163525385,0.07453782477314386,0.9297529541636184,-0.03681099329796279
TW_4467a039e00b,PS_044,PS_042,SplineRidge,primary,CS4,578,20,0.7057387057387058,0.062307519610275794,0.07931231828321121,0.9204654323321464,-0.04580660835300417,0.06167791088930892,0.07997485351408692,0.9191310987561784,-0.04495839625926452
TW_4467a039e00b,PS_044,PS_043,HistGradientBoosting,r1_frozen_input,CS4,389,20,0.4917825537294564,0.06828343242972965,0.10635032404365119,0.8960530552211527,-0.03676437846453543,0.07797758079022192,0.11563445896734155,0.8771122367412002,-0.038975982957955256
TW_4467a039e00b,PS_044,PS_043,SplineRidge,primary,CS4,389,20,0.4917825537294564,0.07914031616886597,0.11020384468529293,0.888383709206585,-0.06061352383949042,0.07641147671352003,0.10775127899632214,0.8932964270893683,-0.03427133514784871
TW_4467a039e00b,PS_044,PS_045,HistGradientBoosting,r1_frozen_input,CS4,429,19,0.5860655737704918,0.050488879476837834,0.08690906594761248,0.9189091811162458,0.025052062880042206,0.039091498270691846,0.0776426015250799,0.9352795276016527,0.017644426054071984
