group_id,plant_a,plant_b,ed_supported_a_to_b,ed_supported_b_to_a,mmd2_supported_a_to_b,mmd2_supported_b_to_a,a_ed,a_mmd,a_otg,abs_a_ed,abs_a_mmd,abs_a_otg
TW_4467a039e00b,PS_043,PS_045,0.983315031339248,0.5033338240577536,0.2647944878482513,0.12717873825162695,0.4799812072814944,0.13761574959662437,0.0059200485566397384,0.4799812072814944,0.13761574959662437,0.0059200485566397384
TW_4467a039e00b,PS_043,PS_046,0.9717221159189051,0.3976835138991346,0.2668519985265658,0.09893126903100513,0.5740386020197705,0.1679207294955607,0.004812391028244205,0.5740386020197705,0.1679207294955607,0.004812391028244205
TW_4467a039e00b,PS_043,PS_047,1.4715970593232137,0.27845572952007536,0.4020891791299709,0.07573945913273938,1.1931413298031384,0.3263497199972315,-0.038265813831763834,1.1931413298031384,0.3263497199972315,0.038265813831763834
TW_4467a039e00b,PS_043,PS_049,1.1963095087795104,0.2838537945922188,0.3317448202173374,0.06863935392051812,0.9124557141872915,0.2631054662968193,0.02411999096160925,0.9124557141872915,0.2631054662968193,0.02411999096160925
TW_4467a039e00b,PS_043,PS_050,1.5150715338494418,0.35472738055512854,0.4098499057570735,0.08956282847071884,1.1603441532943133,0.32028707728635464,0.038092173824903014,1.1603441532943133,0.32028707728635464,0.038092173824903014
TW_4467a039e00b,PS_043,PS_051,0.18031733556898888,0.21730316026264496,0.05097188921258744,0.06041124590561342,-0.03698582469365608,-0.00943935669302598,0.056187477722178664,0.03698582469365608,0.00943935669302598,0.056187477722178664
TW_4467a039e00b,PS_044,PS_045,0.3217073519345699,0.5150624946955857,0.08260067338713561,0.12800285859940397,-0.19335514276101584,-0.04540218521226835,-0.015610495058470696,0.19335514276101584,0.04540218521226835,0.015610495058470696
TW_4467a039e00b,PS_044,PS_046,0.2683547780087254,0.44583161321773623,0.07314882629648989,0.11149061140414962,-0.1774768352090108,-0.03834178510765973,0.008009191715341216,0.1774768352090108,0.03834178510765973,0.008009191715341216
TW_4467a039e00b,PS_044,PS_047,0.4449559662353888,0.22450173240414117,0.11909528695289029,0.05887215984387195,0.22045423383124763,0.06022312710901834,-0.1115159358508125,0.22045423383124763,0.06022312710901834,0.1115159358508125
TW_4467a039e00b,PS_044,PS_049,0.41913421840014187,0.22041344513544403,0.11752008104586875,0.051585170809328895,0.19872077326469784,0.06593491023653986,-0.0010815119947428717,0.19872077326469784,0.06593491023653986,0.0010815119947428717
TW_4467a039e00b,PS_044,PS_050,0.403237211385735,0.1937631481223252,0.11349305931538423,0.04757051140833046,0.20947406326340978,0.06592254790705376,0.0006483280406442415,0.20947406326340978,0.06592254790705376,0.0006483280406442415
