group_id,source_plant_id,target_plant_id,model_family,support_rule,computable,reason,n_source_recent_half,n_target_recent_half,n_eligible_target_test,n_supported,n_supported_days,support_retention,threshold,transfer_mae,local_same_rows_mae,otg_abs
TW_4467a039e00b,PS_044,PS_045,SplineRidge,CS4,True,,1252,1098,732,393,19,0.5368852459016393,0.6156978909774169,0.05814585961008819,0.04996809566180983,0.008177763948278356
TW_4467a039e00b,PS_044,PS_046,SplineRidge,CS4,True,,1252,855,570,430,16,0.7543859649122807,0.6156978909774169,0.06937008710785166,0.06258113335942292,0.006788953748428736
TW_4467a039e00b,PS_044,PS_047,SplineRidge,CS4,True,,1252,863,576,304,17,0.5277777777777778,0.6156978909774169,0.10908721860255277,0.10255125154348076,0.006535967059072015
TW_4467a039e00b,PS_044,PS_048,SplineRidge,CS4,True,,1252,1108,739,289,18,0.3910690121786198,0.6156978909774169,0.0534107927457594,0.04511306450880789,0.008297728236951504
TW_4467a039e00b,PS_044,PS_049,SplineRidge,CS4,True,,1252,1065,710,405,18,0.5704225352112676,0.6156978909774169,0.06668461948833947,0.06026813285057406,0.006416486637765409
TW_4467a039e00b,PS_044,PS_050,SplineRidge,CS4,True,,1252,1261,841,451,21,0.5362663495838288,0.6156978909774169,0.060546057525298576,0.06163531272369939,-0.001089255198400814
TW_4467a039e00b,PS_044,PS_051,SplineRidge,CS4,True,,1252,1120,747,226,18,0.30254350736278446,0.6156978909774169,0.08998384186544099,0.08040396688843872,0.009579874977002273
TW_4467a039e00b,PS_045,PS_042,SplineRidge,CS4,True,,1098,1228,819,509,20,0.6214896214896215,0.8088273495976918,0.06269717196004586,0.08040473163408182,-0.017707559674035964
TW_4467a039e00b,PS_045,PS_043,SplineRidge,CS4,True,,1098,1185,791,157,20,0.19848293299620734,0.8088273495976918,0.07497376576271625,0.05739549324432323,0.017578272518393022
TW_4467a039e00b,PS_045,PS_044,SplineRidge,CS4,True,,1098,1252,835,492,21,0.5892215568862276,0.8088273495976918,0.09515663592400612,0.0773092072040524,0.01784742871995372
TW_4467a039e00b,PS_045,PS_046,SplineRidge,CS4,True,,1098,855,570,492,16,0.8631578947368421,0.8088273495976918,0.06803209649517256,0.06431147555685143,0.003720620938321123
TW_4467a039e00b,PS_045,PS_047,SplineRidge,CS4,True,,1098,863,576,453,17,0.7864583333333334,0.8088273495976918,0.0959024477888729,0.12362838099364204,-0.02772593320476914
TW_4467a039e00b,PS_045,PS_048,SplineRidge,CS4,True,,1098,1108,739,149,18,0.20162381596752368,0.8088273495976918,0.04798550722471336,0.035839826974660885,0.012145680250052478
TW_4467a039e00b,PS_045,PS_049,SplineRidge,CS4,True,,1098,1065,710,560,18,0.7887323943661971,0.8088273495976918,0.06570885498474581,0.058685228221783396,0.0070236267629624136
TW_4467a039e00b,PS_045,PS_050,SplineRidge,CS4,True,,1098,1261,841,636,21,0.7562425683709869,0.8088273495976918,0.06570483634754716,0.06471856043001846,0.0009862759175287006
TW_4467a039e00b,PS_045,PS_051,SplineRidge,CS4,True,,1098,1120,747,200,18,0.2677376171352075,0.8088273495976918,0.07261210599819147,0.0455417469145245,0.02707035908366697
TW_4467a039e00b,PS_046,PS_042,SplineRidge,CS4,True,,855,1228,819,439,20,0.536019536019536,0.7102626453300122,0.04735744990369012,0.08031281748622027,-0.03295536758253015
TW_4467a039e00b,PS_046,PS_043,SplineRidge,CS4,True,,855,1185,791,126,20,0.1592920353982301,0.7102626453300122,0.05558972574904055,0.061684284081829556,-0.006094558332789005
TW_4467a039e00b,PS_046,PS_044,SplineRidge,CS4,True,,855,1252,835,431,21,0.5161676646706587,0.7102626453300122,0.07662433520449644,0.07677374129517016,-0.00014940609067372324
TW_4467a039e00b,PS_046,PS_045,SplineRidge,CS4,True,,855,1098,732,495,19,0.6762295081967213,0.7102626453300122,0.04679851956219556,0.04362367353744186,0.003174846024753701
TW_4467a039e00b,PS_046,PS_047,SplineRidge,CS4,True,,855,863,576,429,17,0.7447916666666666,0.7102626453300122,0.09296428398229409,0.12585559082347775,-0.03289130684118366
TW_4467a039e00b,PS_046,PS_048,SplineRidge,CS4,True,,855,1108,739,88,17,0.11907983761840325,0.7102626453300122,0.06494417581660085,0.051743727343889254,0.013200448472711596
