group_id,source_plant_id,target_plant_id,n_validation,offset_eligible,affine_eligible,affine_reason,delta,a,b,extreme_finite_slope
TW_4467a039e00b,PS_050,PS_047,564,True,True,,-0.11994082176617,-0.011790439579383015,0.8144010835462794,False
TW_4467a039e00b,PS_050,PS_048,121,True,True,,-0.0004855378069185259,-0.026362818042804936,1.089960362192609,False
TW_4467a039e00b,PS_050,PS_049,479,True,True,,0.030963817873435016,-0.024134706357190335,1.0795468767863765,False
TW_4467a039e00b,PS_050,PS_051,527,True,True,,-0.0005655069250009374,-0.004227503103134821,1.007678743666017,False
TW_4467a039e00b,PS_051,PS_042,372,True,True,,0.034122009950571915,0.07513130722083745,0.9219363617330177,False
TW_4467a039e00b,PS_051,PS_043,459,True,True,,-0.011941982202198225,0.034205380880306405,0.9300211389182987,False
TW_4467a039e00b,PS_051,PS_044,233,True,True,,-0.038674942788939175,-0.03712874220370255,0.9971130648329352,False
TW_4467a039e00b,PS_051,PS_045,180,True,True,,-0.03663954625050571,-0.027299993886015134,0.9761082116344043,False
TW_4467a039e00b,PS_051,PS_046,274,True,True,,-0.011324129427935575,0.010164457860862739,0.9356819514301732,False
TW_4467a039e00b,PS_051,PS_047,236,True,True,,-0.09031001205194598,-0.0011062543937246838,0.7640263496664209,False
TW_4467a039e00b,PS_051,PS_048,77,True,True,,-0.0054381491133520315,0.003864114442194613,0.9751447704914649,False
TW_4467a039e00b,PS_051,PS_049,151,True,True,,0.0012776375199408233,0.02043222840653252,0.9587949053221084,False
TW_4467a039e00b,PS_051,PS_050,130,True,True,,-0.006433011001333136,0.012176666955723225,0.9499036415839115,False
TW_88a108921af7,PS_035,PS_039,804,True,True,,0.02686023491295345,-0.0022719633397645625,1.0540183030973262,False
TW_88a108921af7,PS_039,PS_035,786,True,True,,-0.016693428814700022,-0.024104756893550485,1.0144964886004593,False
