group_id,source_plant_id,target_plant_id,mbe_transfer_0,mbe_transfer_1,mbe_transfer_2,abs_mbe_0,abs_mbe_1,centered_mae_0,centered_mae_1,centered_rmse_0,centered_rmse_1,local_mbe,local_centered_mae,otg_0,abs_mbe_transfer
TW_4467a039e00b,PS_043,PS_045,0.03268696134794913,-0.004460349878907364,-0.0034425009089648043,0.03268696134794913,0.004460349878907364,0.05979299734648044,0.05979299734648044,0.08120190626806649,0.08120190626806649,0.01884872788659597,0.053656089024202464,0.015195240447891868,0.03268696134794913
TW_4467a039e00b,PS_043,PS_046,0.014737074358870847,-0.02042269421795807,-0.015300007057482592,0.014737074358870847,0.02042269421795807,0.0675771369869421,0.0675771369869421,0.10218354050844038,0.10218354050844039,0.0063493255456721276,0.05944427594967814,0.014229621346581393,0.014737074358870847
TW_4467a039e00b,PS_043,PS_047,0.05958445872327727,-0.03560404369544921,-0.03165293899327579,0.05958445872327727,0.03560404369544921,0.0506749979842412,0.0506749979842412,0.07220025110018058,0.07220025110018057,-0.03214546979080687,0.052148544842924874,0.03048558545326155,0.05958445872327727
TW_4467a039e00b,PS_043,PS_048,0.02840371749483194,0.03539666427773454,0.03347065898128265,0.02840371749483194,0.03539666427773454,0.03376964925702221,0.0337696492570222,0.04865955496305465,0.04865955496305465,0.010246825594433562,0.026514077977380607,0.013820111613068065,0.02840371749483194
TW_4467a039e00b,PS_043,PS_049,0.0045536660197490865,0.006725059202704759,0.007112959154400729,0.0045536660197490865,0.006725059202704759,0.07099539543084518,0.07099539543084518,0.11410338662337369,0.11410338662337369,0.007500887828436002,0.061605000729153404,0.009391758907144818,0.0045536660197490865
TW_4467a039e00b,PS_043,PS_050,0.016133547201249814,-0.010350123140722183,-0.009459390303061503,0.016133547201249814,0.010350123140722183,0.06439054175405559,0.06439054175405559,0.10148786372954519,0.10148786372954519,-0.0027485764822873906,0.054565976771834945,0.01803926876567121,0.016133547201249814
TW_4467a039e00b,PS_043,PS_051,-0.004438162946029821,-0.0267364508672273,-0.005025507964881481,0.004438162946029821,0.0267364508672273,0.11064827509006757,0.11064827509006757,0.1681985952443065,0.1681985952443065,0.03053208760989668,0.084782724277921,0.03570076303226996,0.004438162946029821
TW_4467a039e00b,PS_044,PS_042,-0.04580660835300417,0.009152003062974624,0.0087124555242443,0.04580660835300417,0.009152003062974624,0.0411573401725138,0.0411573401725138,0.06474718883976267,0.06474718883976267,-0.04495839625926452,0.046220972316337976,0.0006296087209668733,0.04580660835300417
TW_4467a039e00b,PS_044,PS_043,-0.06061352383949042,0.007671055206686171,0.006964406775381995,0.06061352383949042,0.007671055206686171,0.0527861110567002,0.0527861110567002,0.09203742777359486,0.09203742777359486,-0.03427133514784871,0.07030921602777805,0.0027288394553459383,0.06061352383949042
TW_4467a039e00b,PS_044,PS_045,0.014158867165169137,0.016756916448611013,0.018361489635693836,0.014158867165169137,0.016756916448611013,0.05081330136414147,0.05081330136414147,0.08190942319492925,0.08190942319492926,0.014102842474764017,0.0483485306945412,0.0036192237936387914,0.014158867165169137
TW_4467a039e00b,PS_044,PS_046,0.020049632082119885,0.0018663075635934386,0.0019583057364919304,0.020049632082119885,0.0018663075635934386,0.06752209830431245,0.06752209830431245,0.10139384624304745,0.10139384624304745,0.019118918835563846,0.06429572398412597,0.0039133863461248974,0.020049632082119885
TW_4467a039e00b,PS_044,PS_047,0.07505797109281796,-0.051787673922733216,-0.05438398948605707,0.07505797109281796,0.051787673922733216,0.09402701017040038,0.09402701017040041,0.11978970290278229,0.11978970290278229,-0.06933682862280632,0.08883862656530582,0.0071577689784308035,0.07505797109281796
TW_4467a039e00b,PS_044,PS_048,-0.020326879093706996,0.02592474934391576,0.02566045929494685,0.020326879093706996,0.02592474934391576,0.05111988546692987,0.05111988546692986,0.08289797282435397,0.08289797282435399,-0.0005493469649753291,0.04515193854467807,0.009131841598326293,0.020326879093706996
TW_4467a039e00b,PS_044,PS_049,-0.010313358754923792,0.020445579745308813,0.021421640551108227,0.010313358754923792,0.020445579745308813,0.0625641490232849,0.0625641490232849,0.1089532689012564,0.1089532689012564,0.003151099088188258,0.05867104710339332,0.005280386613518866,0.010313358754923792
TW_4467a039e00b,PS_044,PS_050,0.011391067689696001,0.015090209935111665,0.020100173202313706,0.011391067689696001,0.015090209935111665,0.06186261009674774,0.06186261009674774,0.11062551340933392,0.11062551340933392,-8.398127166817565e-05,0.056881343637390926,0.005192983227140013,0.011391067689696001
