group_id,plant_a,plant_b,level,otg_a_to_b,otg_b_to_a,asymmetry_signed,asymmetry_abs
TW_4467a039e00b,PS_045,PS_050,k1,0.003828749010350664,0.0018332029473389494,0.0019955460630117147,0.0019955460630117147
TW_4467a039e00b,PS_045,PS_051,k1,0.03272576713057975,0.007161051110381428,0.025564716020198323,0.025564716020198323
TW_4467a039e00b,PS_046,PS_047,k1,-0.01588002029710582,0.024793638047251473,-0.040673658344357294,0.040673658344357294
TW_4467a039e00b,PS_046,PS_049,k1,0.003201572788366462,0.0015257083574848063,0.0016758644308816559,0.0016758644308816559
TW_4467a039e00b,PS_046,PS_050,k1,-0.0018238073392773807,0.00014418118183559536,-0.001967988521112976,0.001967988521112976
TW_4467a039e00b,PS_046,PS_051,k1,0.014818147167801131,-0.004274271882999267,0.019092419050800398,0.019092419050800398
TW_4467a039e00b,PS_047,PS_049,k1,0.03018811742119229,-0.007225877534918462,0.03741399495611075,0.03741399495611075
TW_4467a039e00b,PS_047,PS_050,k1,0.02298161342282886,-0.016760102362148477,0.03974171578497734,0.03974171578497734
TW_4467a039e00b,PS_047,PS_051,k1,0.060710831183857394,0.01129375794196457,0.049417073241892824,0.049417073241892824
TW_4467a039e00b,PS_049,PS_050,k1,0.005016406165579745,0.003613486319790443,0.0014029198457893022,0.0014029198457893022
TW_4467a039e00b,PS_049,PS_051,k1,0.009408904297109291,-0.0015620297460334429,0.010970934043142734,0.010970934043142734
TW_4467a039e00b,PS_050,PS_051,k1,0.007759221517487161,0.0005778203231423945,0.007181401194344766,0.007181401194344766
TW_88a108921af7,PS_035,PS_039,k1,-0.011693580942109968,-0.009719327339603373,-0.0019742536025065954,0.0019742536025065954
TW_04b9f5d95694,PS_002,PS_003,k2,0.01240751118557791,0.0018654827989903477,0.010542028386587562,0.010542028386587562
TW_4467a039e00b,PS_042,PS_043,k2,-0.024947502828822653,0.02431636473324389,-0.04926386756206654,0.04926386756206654
TW_4467a039e00b,PS_042,PS_044,k2,-0.001957542571430021,-0.01948458695994685,0.01752704438851683,0.01752704438851683
TW_4467a039e00b,PS_042,PS_045,k2,-0.009813370511750089,-0.01774919949721703,0.007935828985466943,0.007935828985466943
TW_4467a039e00b,PS_042,PS_046,k2,-0.005228164470413077,-0.012436846129104763,0.007208681658691686,0.007208681658691686
TW_4467a039e00b,PS_042,PS_047,k2,-0.002954644197425131,-0.025052478397950967,0.022097834200525836,0.022097834200525836
TW_4467a039e00b,PS_042,PS_049,k2,0.0008753268990531471,-0.008516477768681918,0.009391804667735065,0.009391804667735065
TW_4467a039e00b,PS_042,PS_050,k2,0.008185990451390089,-0.01702877516001044,0.025214765611400528,0.025214765611400528
TW_4467a039e00b,PS_042,PS_051,k2,0.006742689537621652,0.016947888453007993,-0.010205198915386342,0.010205198915386342
TW_4467a039e00b,PS_043,PS_044,k2,0.01848739676957202,-0.020985735226337482,0.0394731319959095,0.0394731319959095
TW_4467a039e00b,PS_043,PS_045,k2,0.00333138677273892,0.00320794627527074,0.0001234404974681802,0.0001234404974681802
TW_4467a039e00b,PS_043,PS_046,k2,-0.00174234379561021,-0.009664901654746608,0.007922557859136398,0.007922557859136398
TW_4467a039e00b,PS_043,PS_047,k2,0.0009358417470882036,-0.017340109014921466,0.01827595076200967,0.01827595076200967
TW_4467a039e00b,PS_043,PS_049,k2,0.007692685455471596,-0.020851914904485437,0.028544600359957033,0.028544600359957033
TW_4467a039e00b,PS_043,PS_050,k2,0.006564137868029105,-0.017592306314875433,0.024156444182904538,0.024156444182904538
TW_4467a039e00b,PS_043,PS_051,k2,0.024444196223187165,-0.01908288094183394,0.043527077165021105,0.043527077165021105
TW_4467a039e00b,PS_044,PS_045,k2,0.005809813957413507,0.002131811653394877,0.0036780023040186294,0.0036780023040186294
TW_4467a039e00b,PS_044,PS_046,k2,0.0028533765022905333,-0.010420322149947703,0.013273698652238236,0.013273698652238236
TW_4467a039e00b,PS_044,PS_047,k2,-0.005669389830907007,-0.020209666962090006,0.014540277131183,0.014540277131183
